storage_gib,recovery_token_layers,g1,g2,l
4.86969812,186938.53059784,128,5335,1
4.87496732,186346.88522699,128,5328,1
4.88754087,186168.51742337,127,5320,1
4.89331415,185807.77751292,128,5304,1
4.89976801,185717.67472683,127,5304,1
4.90563404,185526.48617434,128,5288,1
4.91180974,185526.32358821,128,5280,1
4.91208790,185340.28645481,127,5288,1
4.91804143,185259.08555303,128,5272,1
4.91826359,185129.53308682,127,5280,1
4.92415763,184722.15724963,128,5264,1
4.93061148,184319.95951399,127,5264,1
4.94299096,184094.22851562,128,5240,1
4.95137114,178353.25507120,255,5208,2
4.95762476,177709.61681456,255,5200,2
4.96406298,177606.19340936,255,5192,2
4.97681055,177269.21949972,255,5176,2
4.98328360,177251.02996970,255,5168,2
4.99617571,176735.51140733,255,5152,2
5.00912530,176429.41524283,255,5136,2
5.01566452,176122.07929764,255,5128,2
5.02215324,175589.63619202,255,5120,2
5.02876387,175547.03715167,255,5112,2
5.03537449,175386.12015179,255,5104,2
5.04856788,174606.87810270,255,5088,2
5.06189014,174199.05279205,255,5072,2
5.06851992,173977.94813069,255,5064,2
5.08187178,173548.56018163,255,5048,2
5.10229924,172899.45062977,255,5024,2
5.11591754,172060.50477900,255,5008,2
5.12961596,171783.78961230,255,4992,2
5.15044221,171661.61144731,255,4968,2
5.15744815,171190.76285295,255,4960,2
5.17135554,170679.20538186,255,4944,2
5.18550500,170512.95385934,255,4928,2
5.19259627,169917.62970211,255,4920,2
5.20684673,169667.69550858,255,4904,2
5.22117555,169515.67646946,255,4888,2
5.22829121,168581.65436992,255,4880,2
5.25003696,167724.98504014,255,4856,2
5.27207180,167517.49070728,255,4832,2
5.27666057,167508.92884166,255,4827,2
5.28678723,166800.03572143,255,4816,2
5.30165243,166641.64806456,255,4800,2
5.30904149,166140.97094534,255,4792,2
5.33163012,165537.12127445,255,4768,2
5.34679485,165391.66824173,255,4752,2
5.35444687,165194.98926166,255,4744,2
5.36210238,165132.73227962,255,4736,2
5.36969520,164076.49795845,255,4728,2
5.38513334,163848.89956401,255,4712,2
5.40063244,163432.01195328,255,4696,2
5.42414404,162950.68681948,255,4672,2
5.43199285,162537.82021638,255,4664,2
5.43993919,162466.66801104,255,4656,2
5.44791861,162417.26821251,255,4648,2
5.45577787,161602.83947081,255,4640,2
5.47900437,161539.08103931,248,4640,2
5.47990247,161377.91090597,255,4616,2
5.48791324,161062.37979438,255,4608,2
5.50409673,160323.31317283,255,4592,2
5.52052055,160273.38840659,255,4576,2
5.52347408,159663.42354746,255,4573,2
5.54526337,159520.93631967,255,4552,2
5.55359631,159421.35432686,255,4544,2
5.56186134,159110.23849271,255,4536,2
5.57029180,158890.67556210,255,4528,2
5.57863171,158689.44395531,255,4520,2
5.58707088,158319.86721441,255,4512,2
5.60398753,157941.53675181,255,4496,2
5.62099474,157104.17913001,255,4480,2
5.63821092,156998.49764318,255,4464,2
5.64682598,156816.60122032,255,4456,2
5.65771714,156544.27346057,255,4446,2
5.66427727,156460.33093550,255,4440,2
5.67289755,155668.72994202,255,4432,2
5.69041153,155158.20133720,255,4416,2
5.70811532,154874.13760688,255,4400,2
5.72586614,154276.42423951,255,4384,2
5.75294776,154081.45552027,255,4360,2
5.76194769,153514.12610344,255,4352,2
5.77101727,153495.55120033,255,4344,2
5.78015129,153010.62244325,255,4336,2
5.79844022,152349.24648976,255,4320,2
5.81690678,152244.63902175,255,4304,2
5.83560148,152033.10623385,255,4288,2
5.84489919,151317.01515979,255,4280,2
5.85426831,151201.37481161,255,4272,2
5.87326602,151035.18300551,255,4256,2
5.88272395,150745.71117203,255,4248,2
5.89228985,150429.81681764,255,4240,2
5.90180873,150014.86383105,255,4232,2
5.92099801,149622.81201172,255,4216,2
5.93070149,149441.39423521,255,4208,2
5.95020074,148990.29505644,255,4192,2
5.96000174,148646.65380090,255,4184,2
5.96978010,148398.12538063,255,4176,2
5.98961198,148186.67359360,255,4160,2
5.99954707,147745.99567467,255,4152,2
6.00950481,147502.17651559,255,4144,2
6.01951478,147391.48141071,255,4136,2
6.02955611,147057.58070482,255,4128,2
6.03969844,147054.38190130,255,4120,2
6.04981813,146641.41299751,255,4112,2
6.06000399,146350.56870156,255,4104,2
6.07016548,145760.92359360,255,4096,2
6.09339198,145679.75451372,248,4096,2
6.10105395,145325.91459692,255,4072,2
6.11022803,145277.95391173,255,4065,2
6.12183319,144925.40805318,255,4056,2
6.14280747,144260.99530558,255,4040,2
6.15343045,144218.65612312,255,4032,2
6.16389321,143529.88599978,255,4024,2
6.18517921,143024.34333861,255,4008,2
6.20670554,142721.40037909,255,3992,2
6.21749395,142633.07183117,255,3984,2
6.22836944,142606.56400329,255,3976,2
6.23922229,142107.10863297,255,3968,2
6.26117876,141770.20894977,255,3952,2
6.27216048,141547.88822204,255,3944,2
6.28046556,141230.71368264,255,3938,2
6.29436598,140907.63097856,255,3928,2
6.30543477,140469.61742972,255,3920,2
6.31662373,140308.77338752,255,3912,2
6.33923847,139957.20716582,255,3896,2
6.35057197,139840.80014687,255,3888,2
6.36191940,139262.36572266,255,3880,2
6.37326857,138915.33848656,255,3872,2
6.38475183,138798.59516871,255,3864,2
6.39625076,138498.20882674,255,3856,2
6.41956210,138413.92999123,255,3840,2
6.43116726,137896.12493464,255,3832,2
6.44290826,137735.40197081,255,3824,2
6.45469280,137552.73796983,255,3816,2
6.46214630,137369.20923669,255,3811,2
6.47839248,137131.16539662,255,3800,2
6.49029544,137065.67959138,255,3792,2
6.50229244,136858.37172813,255,3784,2
6.51432775,136278.69912263,255,3776,2
6.52634912,136047.88253183,255,3768,2
6.53841752,135721.15278589,255,3760,2
6.55059563,135439.48782373,255,3752,2
6.56285384,135289.64157465,255,3744,2
6.57512773,134803.84228516,255,3736,2
6.58741033,134777.16324357,255,3728,2
6.61063683,134669.86155112,248,3728,2
6.61224197,134198.08476486,255,3712,2
6.62473180,133783.25114189,255,3704,2
