mean_storage_gib,sampled_mean_recovery_token_layers,exact_mean_recovery_token_layers,g,l
2.64495084,92781.35897827,93093.83546316,8192,42
2.64688583,92727.72851562,93077.10141790,8186,42
2.64720833,92612.69976807,93077.93788006,8185,42
2.64753083,92592.19830322,93079.54327846,8184,42
2.66180285,92531.73233032,92921.93484807,8140,42
2.66245491,92519.62088013,92921.93484807,8138,42
2.66278093,92490.69564819,92921.93484807,8137,42
2.66343299,92429.21862793,92921.93484807,8135,42
2.67886347,92404.41491699,92746.02942897,8088,42
2.70050862,92311.64474487,92524.33814366,8023,42
2.70084535,92195.17010498,92514.80019920,8022,42
2.70589631,92187.39804077,92479.33216267,8007,42
2.70623305,92143.77365112,92479.33216267,8006,42
2.70690651,92125.44674683,92479.33216267,8004,42
2.70791670,92028.79870605,92479.33216267,8001,42
2.70859198,91906.96340942,92465.20253380,7999,42
2.73485203,91859.71517944,92200.28229272,7922,42
2.74348075,91730.24917603,92091.09442891,7897,42
2.74417597,91716.20321655,92070.68173432,7895,42
2.74452357,91666.59918213,92062.71298929,7894,42
2.74487118,91650.72955322,92056.08696191,7893,42
2.76583989,91634.91885376,91848.68818531,7833,42
2.76866477,91462.55514526,91816.37693462,7825,42
2.77751558,91430.36596680,91752.55600844,7800,42
2.77787054,91320.24761963,91755.20383480,7799,42
2.77822549,91169.45233154,91758.42896957,7798,42
2.79935139,91069.00643921,91532.60310140,7739,42
2.81458630,91005.74957275,91372.82544917,7697,42
2.81495055,90997.89370728,91372.82544917,7696,42
2.81640812,90966.50418091,91368.00541199,7692,42
2.83294298,90948.88336182,91155.04875595,7647,42
2.83405261,90924.68161011,91151.81572618,7644,42
2.83442249,90855.09411621,91151.57697342,7643,42
2.83479237,90792.72705078,91151.52435948,7642,42
2.83590200,90760.92883301,91151.52410648,7639,42
2.84890571,90689.03872681,91128.22113178,7604,42
2.85829456,90599.61480713,90930.22276378,7579,42
2.85979823,90569.89297485,90918.73718226,7575,42
2.87227399,90469.79553223,90801.37018363,7542,42
2.87265527,90433.53735352,90785.01551298,7541,42
2.87379908,90411.94403076,90747.56929443,7538,42
2.88219246,90386.15060425,90672.68407132,7516,42
2.88257565,90380.14831543,90663.61197639,7515,42
2.88525797,90357.28524780,90643.68485632,7508,42
2.88564116,90191.04580688,90645.50746149,7507,42
2.89718927,90036.90496826,90496.37185463,7477,42
2.89796334,90031.80657959,90490.83449517,7475,42
2.93042011,89903.62365723,90216.00462000,7392,42
2.93357840,89867.33914185,90248.97182903,7384,42
2.93397318,89767.32592773,90251.77738122,7383,42
2.94632298,89707.82089233,90030.57572542,7352,42
2.94792557,89679.53451538,89990.87211313,7348,42
2.94872687,89531.68005371,89981.94469806,7346,42
2.96321316,89496.70169067,89825.72679527,7310,42
2.96361775,89359.31546021,89824.60871739,7309,42
