mean_storage_gib,mean_recovery_token_layers,g1,g2,l
2.64495084,101008.86099243,8192,8192,41
2.64495084,96895.10998535,8192,8192,42
2.64525754,91048.99832153,8191,8192,41
2.64556423,91044.00860596,8190,8192,41
2.64620923,91037.99374390,8188,8190,41
2.64622503,91020.07241821,8188,8189,41
2.64632627,90830.22073364,8187,8192,37
2.64637368,90800.79089355,8187,8191,37
2.64638884,90372.50671387,8187,8192,38
2.64640529,90244.57556152,8187,8192,39
2.64646851,90233.73992920,8187,8190,39
2.64650012,90233.24942017,8187,8189,39
2.64653172,90205.69607544,8187,8188,39
2.64667644,90201.68679810,8186,8192,38
2.64669618,90072.32543945,8186,8192,39
2.64675940,90061.48980713,8186,8190,39
2.64679101,90060.99929810,8186,8189,39
2.64682261,90033.44595337,8186,8188,39
2.64685422,90016.59448242,8186,8187,39
2.64698707,89959.73162842,8185,8192,39
2.64705029,89948.89599609,8185,8190,39
2.64708189,89948.40548706,8185,8189,39
2.64711350,89920.85214233,8185,8188,39
2.64714511,89904.00067139,8185,8187,39
2.64717672,89888.91064453,8185,8186,39
2.64743600,89884.94998169,8184,8187,39
2.64746761,89869.85995483,8184,8186,39
2.64749922,89848.77902222,8184,8185,39
2.67836332,89834.72384644,8088,8102,38
2.67839879,89801.69210815,8088,8101,38
2.67841048,89789.83724976,8088,8102,39
2.67843468,89777.56234741,8089,8092,39
2.67844261,89646.70977783,8088,8101,39
2.67853899,89644.96478271,8088,8098,39
2.67857118,89640.64392090,8088,8097,39
2.67860365,89627.12664795,8088,8096,39
2.67866861,89623.98977661,8088,8094,39
2.67870108,89577.87185669,8088,8093,39
2.67873356,89548.31707764,8088,8092,39
2.67876604,89548.04763794,8088,8091,39
2.68809201,89516.26177979,8059,8071,39
2.68812449,89501.66577148,8059,8070,39
2.68895308,89462.97900391,8057,8063,39
2.68898573,89460.44476318,8057,8062,39
2.68901838,89447.89132690,8057,8061,39
2.70008094,89430.44628906,8023,8036,39
2.70011359,89393.14294434,8023,8035,39
2.70014624,89372.58599854,8023,8034,39
2.70021159,89362.43670654,8023,8032,39
2.70024459,89334.63693237,8023,8031,39
2.70031060,89325.86340332,8023,8029,39
2.70041732,89313.63244629,8022,8035,39
2.70044997,89257.50650024,8022,8034,39
2.70051532,89245.84292603,8022,8032,39
2.70054832,89218.04315186,8022,8031,39
2.70061433,89209.26962280,8022,8029,39
2.79903143,89142.02813721,7739,7754,40
2.79905267,88777.31671143,7739,7753,40
2.79907391,88464.53854370,7739,7752,40
2.79909525,88212.90640259,7739,7751,40
2.79911659,88016.86819458,7739,7750,40
2.79913794,87963.23440552,7739,7749,40
2.79915928,87930.22186279,7739,7748,40
2.87574867,87766.12380981,7531,7543,36
2.87580861,87640.97827148,7531,7542,36
2.87586856,87604.64038086,7531,7541,36
2.87592850,87582.43145752,7531,7540,36
2.87598844,87551.75054932,7531,7539,36
2.87604839,87523.00015259,7531,7538,36
2.87616828,87481.84698486,7531,7536,36
2.87781325,87450.12423706,7527,7530,36
2.87841758,87439.37722778,7524,7536,36
2.87847752,87348.33563232,7524,7535,36
2.87865735,87341.69125366,7524,7532,36
2.87871730,87327.61108398,7524,7531,36
2.87877724,87260.74993896,7524,7530,36
2.87885879,87168.61260986,7523,7534,36
2.87897868,87124.28143311,7523,7532,36
2.87903863,87109.28320312,7523,7531,36
2.87909857,87042.41864014,7523,7530,36
2.87968128,87035.47174072,7521,7531,36
2.87974123,86963.38116455,7521,7530,36
2.88006256,86899.75546265,7520,7530,36
2.90681734,86813.57510376,7451,7463,39
2.90685541,86467.34228516,7451,7462,39
2.90689353,86232.88662720,7451,7461,39
2.90693165,86136.87487793,7451,7460,39
2.90704602,86117.74639893,7451,7457,39
2.91202633,86097.22402954,7438,7446,39
3.04341317,85844.46768188,7115,7127,36
3.04346525,85728.76040649,7115,7127,37
3.04347991,85109.16656494,7115,7126,36
3.04352766,84989.16918945,7115,7126,37
3.04354666,84628.31994629,7115,7125,36
3.04359007,84459.70053101,7115,7125,37
3.04361340,84405.58123779,7115,7124,36
3.04365249,84125.04965210,7115,7124,37
3.04371490,84089.48275757,7115,7123,37
3.04377731,84043.92684937,7115,7122,37
3.04390214,83994.98516846,7115,7120,37
3.04536443,83884.55496216,7111,7120,37
3.04542684,83829.76641846,7111,7119,37
3.04622040,83761.98669434,7109,7118,37
3.04640909,83758.46789551,7109,7115,37
3.04653511,83726.35101318,7109,7113,37
3.04659812,83705.23135376,7109,7112,37
3.04664865,83683.81283569,7108,7117,37
3.04671166,83662.34484863,7108,7116,37
3.04677466,83619.95092773,7108,7115,37
3.04690068,83586.83798218,7108,7113,37
3.04696369,83565.71832275,7108,7112,37
3.04732926,83563.73107910,7107,7112,37
3.08108496,83561.03237915,7029,7036,39
3.12087006,82876.88592529,6939,6947,38
3.12091843,82762.33847046,6939,6946,38
3.12096681,82740.10339355,6939,6945,38
3.12101529,82725.24475098,6939,6944,38
3.12111249,82681.03067017,6939,6942,38
3.12151300,82668.12762451,6938,6942,38
3.12715701,82576.74142456,6925,6933,38
3.53189332,76317.16976929,6130,6134,37
3.53197790,76233.05554199,6130,6133,37
